label,hero,family,baseline_action,weight,samples,avg_ev_4x,avg_ev_check,avg_best_ev,avg_baseline_ev,avg_gain_vs_baseline,median_gain_vs_baseline,p05_gain_vs_baseline,p95_gain_vs_baseline,gain_sd,gain_se,gain_ci95_low,gain_ci95_high,check_better_rate,positive_gain_rate,weighted_gain_contribution,weighted_gain_se,elapsed_seconds
KJo,Kc Jd,any_kx,4x,0.00904977375565611,1000,0.711735382767,0.334756162605,0.715711426869,0.711735382767,0.003976044102,0.0,0.0,0.0,0.026639341802780887,0.0008424099546452365,0.002324920590895337,0.005627167613104663,0.036,0.036,3.5982299565610865e-05,7.6236194990519145e-06,752.4090118408203
KQs,Kc Qc,any_kx,4x,0.0030165912518853697,1000,1.288179313528,0.804492773694,1.289468764403,1.288179313528,0.0012894508750000001,0.0,0.0,0.0,0.01431022945747023,0.0004525291892524158,0.0004024936640652652,0.002176408085934735,0.013,0.013,3.889746229260935e-06,1.3650955935216163e-06,759.3999900817871
KQo,Kc Qd,any_kx,4x,0.00904977375565611,1000,0.796448993523,0.38527997172,0.801242561069,0.796448993523,0.004793567546,0.0,0.0,0.0,0.03467679564550354,0.00109657656196,0.0026442774845584,0.0069428576074416,0.04,0.04,4.338070177375566e-05,9.923769791493214e-06,747.5679790973663
Q2s,Qc 2c,any_qx,4x,0.0030165912518853697,1000,-0.392240367808,-0.215298053341,-0.200820368073,-0.392240367808,0.191419999735,0.159886884,0.0,0.5118378481499998,0.17361138298221715,0.00549007397955602,0.18065945473507022,0.2021805447349298,0.812,0.812,0.0005774358966365008,1.656130913893219e-05,741.8298242092133
Q2o,Qc 2d,any_qx,4x,0.00904977375565611,1000,-0.789214285403,-0.454802409825,-0.454650948882,-0.789214285403,0.334563336521,0.292601585,0.044482740200000016,0.71814432005,0.20791255440298426,0.006574772260570999,0.32167678289028084,0.3474498901517192,0.99,0.99,0.003027722502452489,5.950020145313122e-05,775.7591617107391
Q3s,Qc 3c,any_qx,4x,0.0030165912518853697,1000,-0.276832628485,-0.157241204636,-0.132388690712,-0.276832628485,0.144443937773,0.099761833,0.0,0.4454501616499999,0.1503900033630595,0.004755749479476505,0.13512266879322604,0.15376520675277394,0.722,0.722,0.0004357283190739065,1.4346152275947224e-05,768.7020499706268
Q3o,Qc 3d,any_qx,4x,0.00904977375565611,1000,-0.656258511905,-0.38964468227,-0.387470635338,-0.656258511905,0.268787876567,0.24115477249999998,0.0,0.6431716804999998,0.19602021261614552,0.006198703392974929,0.2566384179167691,0.28093733521723085,0.934,0.934,0.0024324694711945704,5.609686328484099e-05,1007.5572211742401
Q4s,Qc 4c,any_qx,4x,0.0030165912518853697,1000,-0.217805230998,-0.1299054355,-0.094120093294,-0.217805230998,0.123685137704,0.0703007185,0.0,0.4131856256499999,0.1441132061795575,0.004557259724368544,0.11475290864423765,0.13261736676376235,0.661,0.661,0.0003731075043861237,1.374738981709968e-05,775.4312040805817
Q4o,Qc 4d,any_qx,4x,0.00904977375565611,1000,-0.562950850199,-0.344922810594,-0.33702818398,-0.562950850199,0.225922666219,0.1912170245,0.0,0.5838355834499999,0.18554466516223342,0.005867437496059529,0.21442248872672334,0.23742284371127667,0.857,0.857,0.0020445490155565614,5.309898186479212e-05,752.966903924942
Q5s,Qc 5c,any_qx,4x,0.0030165912518853697,1000,-0.098628692268,-0.070388537312,-0.010015828323000001,-0.098628692268,0.088612863945,0.0075449249999999905,0.0,0.3556190961499999,0.12642779060868276,0.003997997778662831,0.08077678829882085,0.09644893959117914,0.52,0.52,0.00026730879018099546,1.2060325124171436e-05,766.8700716495514
Q5o,Qc 5d,any_qx,4x,0.00904977375565611,1000,-0.459145216449,-0.296357651771,-0.278423305227,-0.459145216449,0.180721911222,0.1352025145,0.0,0.5378292397999999,0.17738300742008478,0.00560934321658016,0.16972759851750288,0.1917162239264971,0.787,0.787,0.0016354924092488688,5.076328702787476e-05,753.1130669116974
Q6s,Qc 6c,any_qx,4x,0.0030165912518853697,1000,-0.031292328839,-0.037923703705,0.038653085584,-0.031292328839,0.069945414423,0.0,0.0,0.33937378079999997,0.11779914764931199,0.0037251361299829575,0.06264414760823339,0.0772466812377666,0.429,0.429,0.00021099672525791855,1.1237213061788711e-05,751.5140841007233
Q6o,Qc 6d,any_qx,4x,0.00904977375565611,1000,-0.36256006321900003,-0.24807500633,-0.220432000331,-0.36256006321900003,0.142128062888,0.08460834700000003,0.0,0.46069476605,0.1592483863464174,0.005035876145611388,0.13225774564260168,0.15199838013339834,0.712,0.712,0.0012862268134660635,4.557353977928859e-05,767.0771427154541
Q7s,Qc 7c,any_qx,4x,0.0030165912518853697,1000,0.070234410328,0.015876074615,0.121904630554,0.070234410328,0.051670220226,0.0,0.0,0.2710641739999999,0.09599322007221281,0.0030355721536198545,0.045720498804905085,0.05761994164709491,0.361,0.361,0.00015586793431674207,9.157080403076484e-06,924.9192612171173
Q7o,Qc 7d,any_qx,4x,0.00904977375565611,1000,-0.254396191426,-0.191977242927,-0.143528523623,-0.254396191426,0.110867667803,0.042751653,0.0,0.42637466870000007,0.14579952481985878,0.0046105858020100456,0.10183091963106031,0.1199044159749397,0.594,0.594,0.0010033273104343892,4.1724758389231185e-05,737.9835519790649
Q8s,Qc 8c,any_qx,4x,0.0030165912518853697,1000,0.255352729452,0.131391545527,0.286667761486,0.255352729452,0.031315032034,0.0,0.0,0.21231634019999993,0.07690209423886023,0.0024318577463171114,0.02654859085121846,0.03608147321678153,0.259,0.259,9.44646516862745e-05,7.3359208033698685e-06,759.0409460067749
Q8o,Qc 8d,any_qx,4x,0.00904977375565611,1000,-0.06351296657,-0.083898114599,0.007513731551,-0.06351296657,0.071026698121,0.0,0.0,0.3515570427499999,0.12267778735799158,0.003879412263610636,0.06342305008432315,0.07863034615767685,0.419,0.419,0.0006427755486063349,3.5107803290593996e-05,762.7082328796387
Q9s,Qc 9c,any_qx,4x,0.0030165912518853697,1000,0.475431814145,0.269359280957,0.491621800326,0.475431814145,0.016189986181,0.0,0.0,0.11803266144999988,0.05594220261844732,0.0017690477760092898,0.012722652540021792,0.019657319821978207,0.14,0.14,4.883857068174962e-05,5.3364940452768925e-06,1574.165549993515
Q9o,Qc 9d,any_qx,4x,0.00904977375565611,1000,0.112568758971,0.019870141827,0.156714090459,0.112568758971,0.044145331488,0.0,0.0,0.27318126569999995,0.09885021701495836,0.0031259183296919904,0.038018531561803695,0.0502721314141963,0.293,0.293,0.00039950526233484165,2.8288853662370957e-05,1040.6937108039856
QTs,Qc Tc,any_qx,4x,0.0030165912518853697,1000,0.955732593915,0.659308619688,0.965803031843,0.955732593915,0.010070437928,0.0,0.0,0.04370517004999997,0.05402541657209467,0.0017084336790722551,0.00672190791701838,0.013418967938981619,0.067,0.067,3.0378394956259425e-05,5.1536460907157015e-06,788.6275899410248
QTo,Qc Td,any_qx,4x,0.00904977375565611,1000,0.361359708584,0.175474060455,0.384564917196,0.361359708584,0.023205208612,0.0,0.0,0.18493166599999966,0.07722693100438704,0.0024421299867853795,0.018418633837900655,0.027991783386099346,0.16,0.16,0.00021000188789140273,2.2100723862311127e-05,791.541561126709
QJs,Qc Jc,any_qx,4x,0.0030165912518853697,1000,1.029158672321,0.703774260523,1.037745425881,1.029158672321,0.00858675356,0.0,0.0,0.04948284259999997,0.043564429997205986,0.001377628237581337,0.0058866022143405795,0.011286904905659421,0.072,0.072,2.5902725671191554e-05,4.155741289838121e-06,790.2439610958099
QJo,Qc Jd,any_qx,4x,0.00904977375565611,1000,0.457705362442,0.230003654974,0.475656900311,0.457705362442,0.017951537869,0.0,0.0,0.1383466464999999,0.07021292163180533,0.0022203275353141114,0.013599695899784343,0.022303379838215658,0.111,0.111,0.000162457356280543,2.009346185804626e-05,812.0875120162964
J2s,Jc 2c,any_jx,4x,0.0030165912518853697,1000,-0.702052218757,-0.340626773888,-0.339077582958,-0.702052218757,0.362974635799,0.344045052,0.04041227940000001,0.7341159627999998,0.21715035444842337,0.006866897147698945,0.3495155173895101,0.37643375420848996,0.97,0.97,0.0010949461110075416,2.0714621863345237e-05,778.1976282596588
J2o,Jc 2d,any_jx,4x,0.00904977375565611,1000,-1.078685362184,-0.563152847629,-0.563152847629,-1.078685362184,0.515532514555,0.476070864,0.1996814771,0.9136794136499998,0.2165379583757316,0.006847531483500464,0.5021113528473391,0.528953676262661,1.0,1.0,0.004665452620407241,6.196861071041144e-05,809.0995199680328
J3s,Jc 3c,any_jx,4x,0.0030165912518853697,1000,-0.605665320339,-0.294520111329,-0.291588007141,-0.605665320339,0.314077313198,0.28832196449999997,0.0016025736999999963,0.6857948973499999,0.20606097718636968,0.006516220247889229,0.3013055215121371,0.3268491048838629,0.951,0.951,0.000947442875408748,1.9656772995140962e-05,793.3162622451782
J3o,Jc 3d,any_jx,4x,0.00904977375565611,1000,-0.951149203314,-0.50204201843,-0.50204201843,-0.951149203314,0.449107184884,0.40925591400000005,0.1472114909,0.86783819085,0.21056100835039693,0.006658523728089878,0.43605647837694383,0.4621578913910561,1.0,1.0,0.004064318415239819,6.025813328588125e-05,789.2701959609985
J4s,Jc 4c,any_jx,4x,0.0030165912518853697,1000,-0.497996458101,-0.241941387587,-0.235327618145,-0.497996458101,0.262668839956,0.23173480249999998,0.0,0.6103146971499996,0.19986686263650574,0.006320345147233643,0.25028096346742207,0.2750567164445779,0.894,0.894,0.0007923645247541478,1.9065897880041155e-05,781.2331202030182
J4o,Jc 4d,any_jx,4x,0.00904977375565611,1000,-0.8524846267939999,-0.454541421612,-0.454512728686,-0.8524846267939999,0.397971898108,0.370379076,0.08521660960000002,0.80732133355,0.22113904190520306,0.006993030520078628,0.3842655582886459,0.4116782379273541,0.998,0.998,0.0036015556389864256,6.328534407310975e-05,999.2418320178986
J5s,Jc 5c,any_jx,4x,0.0030165912518853697,1000,-0.39667051587,-0.193588436939,-0.180151571963,-0.39667051587,0.216518943907,0.18487698700000002,0.0,0.5561375309,0.18818746372391928,0.005951010124578973,0.20485496406282522,0.22818292375117477,0.827,0.827,0.0006531491520573152,1.795176508168619e-05,810.7654402256012
J5o,Jc 5d,any_jx,4x,0.00904977375565611,1000,-0.740921376899,-0.405848294049,-0.405491507351,-0.740921376899,0.335429869548,0.3086070925,0.034585373899999994,0.7323853929,0.20559588491409334,0.006501512738863865,0.32268690457982685,0.3481728345161732,0.984,0.984,0.003035564430298643,5.883721935623408e-05,1902.132858991623
J6s,Jc 6c,any_jx,4x,0.0030165912518853697,1000,-0.31702835662,-0.157074828621,-0.138112540755,-0.31702835662,0.178915815865,0.13838977100000005,0.0,0.5170278590000001,0.17587151077229765,0.0055615454957529935,0.16801518669332413,0.18981644503667586,0.788,0.788,0.0005397158849622926,1.677690948945096e-05,798.5900340080261
J6o,Jc 6d,any_jx,4x,0.00904977375565611,1000,-0.705957101162,-0.389547720538,-0.38787584985,-0.705957101162,0.318081251312,0.283549658,0.0017206523500000108,0.69822464475,0.20690728540924766,0.006542982863757468,0.30525700489903534,0.33090549772496464,0.95,0.95,0.002878563360289593,5.921251460413998e-05,789.7689080238342
J7s,Jc 7c,any_jx,4x,0.0030165912518853697,1000,-0.126532244969,-0.041194899751,0.0023582759340000006,-0.126532244969,0.128890520903,0.074629498,0.0,0.4222653629999998,0.1571705276794848,0.004970168485177107,0.11914899067205285,0.1386320511339471,0.647,0.647,0.0003888100178069381,1.4992966772781621e-05,771.8556051254272
