label,hero,outs,samples,avg_ev_4x,avg_ev_check,avg_best_ev,avg_check_minus_4x,check_better_rate,preferred_action_by_average
K9o,Kc 9d,0,254,0.866881881,0.416146976,0.866881881,-0.450734905,0.000000,4x
K9o,Kc 9d,1,417,0.464551302,0.172416345,0.464551302,-0.292134957,0.000000,4x
K9o,Kc 9d,2,252,0.036819818,-0.072260603,0.038678438,-0.109080421,0.059524,4x
K9o,Kc 9d,3,68,-0.417329140,-0.320560013,-0.316322176,0.096769127,0.897059,check
K9o,Kc 9d,4,9,-0.898025850,-0.558962983,-0.558962983,0.339062867,1.000000,check
K9s,Kc 9c,0,244,1.139284288,0.615473815,1.139284288,-0.523810472,0.000000,4x
K9s,Kc 9c,1,423,0.794924357,0.404784634,0.794924357,-0.390139723,0.000000,4x
K9s,Kc 9c,2,254,0.415365642,0.187691830,0.415365642,-0.227673812,0.000000,4x
K9s,Kc 9c,3,72,-0.009493009,-0.046626799,0.016511627,-0.037133790,0.388889,4x
K9s,Kc 9c,4,6,-0.472349587,-0.279453296,-0.279453296,0.192896292,1.000000,check
K9s,Kc 9c,5,1,-1.003414579,-0.589324927,-0.589324927,0.414089652,1.000000,check
KJo,Kc Jd,0,241,1.209765193,0.632739176,1.209765193,-0.577026017,0.000000,4x
KJo,Kc Jd,1,435,0.802085550,0.382112276,0.802085550,-0.419973274,0.000000,4x
KJo,Kc Jd,2,247,0.347106711,0.118455670,0.347610952,-0.228651041,0.004049,4x
KJo,Kc Jd,3,69,-0.131724654,-0.142470859,-0.104756870,-0.010746205,0.391304,4x
KJo,Kc Jd,4,8,-0.671449935,-0.422609997,-0.422609997,0.248839937,1.000000,check
KJs,Kc Jc,0,251,1.639034437,1.003225183,1.639034437,-0.635809253,0.000000,4x
KJs,Kc Jc,1,377,1.298174260,0.803747230,1.298174260,-0.494427030,0.000000,4x
KJs,Kc Jc,2,270,0.957962094,0.623707345,0.957962094,-0.334254749,0.000000,4x
KJs,Kc Jc,3,92,0.500476529,0.380443098,0.507758833,-0.120033432,0.108696,4x
KJs,Kc Jc,4,10,-0.083598998,0.044976759,0.051011501,0.128575758,0.900000,check
KQo,Kc Qd,0,263,1.312152271,0.693695236,1.312152271,-0.618457036,0.000000,4x
KQo,Kc Qd,1,415,0.892348638,0.434679174,0.892348638,-0.457669464,0.000000,4x
KQo,Kc Qd,2,232,0.418348950,0.159201750,0.418348950,-0.259147200,0.000000,4x
KQo,Kc Qd,3,80,-0.103142827,-0.121816436,-0.081148800,-0.018673610,0.375000,4x
KQo,Kc Qd,4,9,-0.711397812,-0.441800949,-0.441800949,0.269596863,1.000000,check
KQo,Kc Qd,5,1,-1.374688507,-0.767014885,-0.767014885,0.607673622,1.000000,check
KQs,Kc Qc,0,234,1.775805563,1.092276487,1.775805563,-0.683529076,0.000000,4x
KQs,Kc Qc,1,391,1.375477102,0.840387602,1.375477102,-0.535089499,0.000000,4x
KQs,Kc Qc,2,286,1.007804142,0.646224350,1.007804142,-0.361579792,0.000000,4x
KQs,Kc Qc,3,81,0.570887524,0.422791092,0.575370881,-0.148096432,0.074074,4x
KQs,Kc Qc,4,8,0.044423874,0.155285080,0.160211245,0.110861206,0.875000,check
KTo,Kc Td,0,267,1.092453604,0.565303498,1.092453604,-0.527150106,0.000000,4x
KTo,Kc Td,1,401,0.707788257,0.328746648,0.707788257,-0.379041609,0.000000,4x
KTo,Kc Td,2,261,0.277998805,0.080635989,0.278193853,-0.197362816,0.003831,4x
KTo,Kc Td,3,62,-0.158907694,-0.160701368,-0.126361455,-0.001793674,0.467742,4x
KTo,Kc Td,4,9,-0.675258905,-0.425675001,-0.425675001,0.249583903,1.000000,check
KTs,Kc Tc,0,226,1.559780711,0.959799566,1.559780711,-0.599981145,0.000000,4x
KTs,Kc Tc,1,422,1.249559116,0.782959030,1.249559116,-0.466600086,0.000000,4x
